driver_id,driver_name,city,joining_date,driver_rating
1,Driver_0001,Kolkata,2023-01-10,4.52
2,Driver_0002,Chennai,2022-06-11,4.75
3,Driver_0003,Delhi,2025-11-04,4.9
4,Driver_0004,Mumbai,2025-10-13,3.99
5,Driver_0005,Hyderabad,2025-04-26,4.07
6,Driver_0006,Ahmedabad,2022-11-18,3.91
7,Driver_0007,Ahmedabad,2023-03-26,4.27
8,Driver_0008,Chennai,2024-11-02,4.51
9,Driver_0009,Delhi,2022-07-03,4.7
10,Driver_0010,Hyderabad,2022-04-21,4.32
11,Driver_0011,Hyderabad,2023-05-23,4.24
12,Driver_0012,Mumbai,2025-08-06,4.4
13,Driver_0013,Mumbai,2022-10-22,4.06
14,Driver_0014,Hyderabad,2024-06-22,5
15,Driver_0015,Pune,2025-05-23,3.79
16,Driver_0016,Hyderabad,2024-08-31,4.41
17,Driver_0017,Chennai,2023-09-24,5
18,Driver_0018,Hyderabad,2024-11-16,4.35
19,Driver_0019,Bengaluru,2024-01-03,4.28
20,Driver_0020,Kolkata,2025-06-08,4.22
21,Driver_0021,Bengaluru,2022-11-17,4.29
22,Driver_0022,Bengaluru,2024-07-01,4.83
23,Driver_0023,Pune,2025-06-10,3.58
24,Driver_0024,Pune,2023-03-13,4.89
25,Driver_0025,Ahmedabad,2024-02-20,3.85
26,Driver_0026,Hyderabad,2025-11-27,4.26
27,Driver_0027,Bengaluru,2024-12-12,4.2
28,Driver_0028,Pune,2025-08-29,4.56
29,Driver_0029,Mumbai,2025-07-28,3.79
30,Driver_0030,Hyderabad,2023-12-27,4.51
31,Driver_0031,Chennai,2022-01-31,5
32,Driver_0032,Kolkata,2022-12-03,3.87
33,Driver_0033,Delhi,2022-07-02,4.42
34,Driver_0034,Hyderabad,2024-11-12,4.12
35,Driver_0035,Delhi,2023-06-28,4.5
36,Driver_0036,Bengaluru,2025-01-02,4.36
37,Driver_0037,Kolkata,2024-10-30,4.13
38,Driver_0038,Delhi,2023-10-22,4.52
39,Driver_0039,Bengaluru,2022-06-09,4.98
40,Driver_0040,Mumbai,2024-11-03,4.28
41,Driver_0041,Delhi,2025-04-16,4.6
42,Driver_0042,Kolkata,2023-02-16,3.9
43,Driver_0043,Ahmedabad,2024-10-08,4.02
44,Driver_0044,Hyderabad,2022-02-22,4.52
45,Driver_0045,Bengaluru,2023-02-12,4.87
46,Driver_0046,Hyderabad,2024-04-26,4.47
47,Driver_0047,Kolkata,2024-11-11,4.24
48,Driver_0048,Pune,2024-11-19,4.35
49,Driver_0049,Bengaluru,2023-12-04,3.91
50,Driver_0050,Delhi,2022-09-17,4.56
51,Driver_0051,Bengaluru,2025-05-13,4.66
52,Driver_0052,Hyderabad,2024-12-18,4.19
53,Driver_0053,Mumbai,2024-02-15,4.19
54,Driver_0054,Bengaluru,2024-11-01,4.44
55,Driver_0055,Delhi,2025-08-06,4.2
56,Driver_0056,Pune,2024-04-29,4.33
57,Driver_0057,Ahmedabad,2022-12-20,5
58,Driver_0058,Chennai,2025-01-03,4.26
59,Driver_0059,Mumbai,2024-05-22,4.22
60,Driver_0060,Ahmedabad,2024-09-17,4.12
61,Driver_0061,Pune,2025-06-18,4.61
62,Driver_0062,Bengaluru,2024-10-14,4.29
63,Driver_0063,Hyderabad,2025-03-23,4.12
64,Driver_0064,Kolkata,2025-01-24,4.81
65,Driver_0065,Hyderabad,2022-10-21,4.85
66,Driver_0066,Ahmedabad,2022-07-28,4.14
67,Driver_0067,Delhi,2025-09-28,3.7
68,Driver_0068,Hyderabad,2025-01-16,4.7
69,Driver_0069,Mumbai,2024-03-28,4.11
70,Driver_0070,Hyderabad,2023-01-25,4.63
71,Driver_0071,Delhi,2022-11-21,3.66
72,Driver_0072,Chennai,2024-07-28,4.66
73,Driver_0073,Bengaluru,2024-06-07,3.93
74,Driver_0074,Kolkata,2025-03-26,4.61
75,Driver_0075,Ahmedabad,2023-10-30,4.35
76,Driver_0076,Bengaluru,2023-09-25,4.02
77,Driver_0077,Hyderabad,2023-07-31,4.21
78,Driver_0078,Pune,2022-05-17,4.59
79,Driver_0079,Bengaluru,2023-03-04,4.39
80,Driver_0080,Chennai,2023-09-04,4.55
81,Driver_0081,Hyderabad,2024-06-29,5
82,Driver_0082,Kolkata,2024-03-29,3.8
83,Driver_0083,Delhi,2022-05-21,4.92
84,Driver_0084,Chennai,2025-01-11,4.39
85,Driver_0085,Hyderabad,2022-06-26,4.04
86,Driver_0086,Chennai,2022-07-17,3.88
87,Driver_0087,Bengaluru,2023-09-16,4.28
88,Driver_0088,Kolkata,2023-11-22,4.67
89,Driver_0089,Delhi,2025-12-15,4.31
90,Driver_0090,Hyderabad,2023-02-05,4.88
91,Driver_0091,Mumbai,2023-04-16,3.84
92,Driver_0092,Ahmedabad,2022-08-06,4.35
93,Driver_0093,Delhi,2024-07-17,3.91
94,Driver_0094,Mumbai,2023-09-24,4.48
95,Driver_0095,Chennai,2024-08-08,4.66
96,Driver_0096,Pune,2024-06-24,4.2
97,Driver_0097,Delhi,2022-06-24,3.44
98,Driver_0098,Chennai,2022-01-23,4.42
99,Driver_0099,Mumbai,2022-08-23,4.5
100,Driver_0100,Bengaluru,2024-11-02,4.49
101,Driver_0101,Bengaluru,2025-01-29,4.78
102,Driver_0102,Pune,2024-07-17,3.98
103,Driver_0103,Ahmedabad,2023-06-07,4.59
104,Driver_0104,Delhi,2023-03-07,4.77
105,Driver_0105,Delhi,2024-03-03,3.73
106,Driver_0106,Delhi,2023-06-17,4.46
107,Driver_0107,Ahmedabad,2024-09-05,4.17
108,Driver_0108,Chennai,2025-08-09,4.32
109,Driver_0109,Kolkata,2024-03-20,4.47
110,Driver_0110,Kolkata,2024-07-01,4.18
111,Driver_0111,Pune,2025-01-29,4.11
112,Driver_0112,Delhi,2025-08-20,4.36
113,Driver_0113,Chennai,2024-05-20,3.97
114,Driver_0114,Bengaluru,2023-06-24,3.97
115,Driver_0115,Mumbai,2024-10-20,4.59
116,Driver_0116,Chennai,2025-10-10,3.95
117,Driver_0117,Ahmedabad,2025-08-19,4.58
118,Driver_0118,Kolkata,2022-08-15,4.51
119,Driver_0119,Kolkata,2025-06-13,3.75
120,Driver_0120,Bengaluru,2024-05-22,4.11
121,Driver_0121,Bengaluru,2024-06-10,4.77
122,Driver_0122,Ahmedabad,2024-11-02,4.01
123,Driver_0123,Mumbai,2022-07-29,4.19
124,Driver_0124,Bengaluru,2024-01-11,4.51
125,Driver_0125,Pune,2023-02-01,4.62
126,Driver_0126,Mumbai,2025-01-28,4.26
127,Driver_0127,Bengaluru,2022-01-31,4.14
128,Driver_0128,Hyderabad,2024-06-16,4.85
129,Driver_0129,Chennai,2023-10-11,4.96
130,Driver_0130,Bengaluru,2022-11-25,4.69
131,Driver_0131,Pune,2025-04-04,4.38
132,Driver_0132,Delhi,2024-08-09,4.07
133,Driver_0133,Bengaluru,2025-01-28,4.06
134,Driver_0134,Kolkata,2023-09-13,4.53
135,Driver_0135,Kolkata,2025-04-11,4.5
136,Driver_0136,Kolkata,2022-06-11,4.84
137,Driver_0137,Delhi,2024-02-15,4.58
138,Driver_0138,Kolkata,2025-07-10,3.82
139,Driver_0139,Hyderabad,2022-10-01,4.72
140,Driver_0140,Bengaluru,2024-10-23,4
141,Driver_0141,Ahmedabad,2024-11-17,4.22
142,Driver_0142,Kolkata,2022-11-22,4.44
143,Driver_0143,Mumbai,2024-07-28,5
144,Driver_0144,Ahmedabad,2025-03-18,5
145,Driver_0145,Delhi,2023-06-24,4.56
146,Driver_0146,Hyderabad,2023-05-03,4.29
147,Driver_0147,Mumbai,2024-04-01,4.54
148,Driver_0148,Mumbai,2024-12-24,4.66
149,Driver_0149,Mumbai,2022-12-22,4.24
150,Driver_0150,Mumbai,2025-06-29,4.98
151,Driver_0151,Ahmedabad,2022-08-23,4.43
152,Driver_0152,Ahmedabad,2022-08-15,4.52
153,Driver_0153,Bengaluru,2025-08-29,4.58
154,Driver_0154,Kolkata,2022-02-18,4.5
155,Driver_0155,Chennai,2022-04-28,4.64
156,Driver_0156,Bengaluru,2022-02-23,4.13
157,Driver_0157,Bengaluru,2023-07-19,4.15
158,Driver_0158,Hyderabad,2024-12-03,3.96
159,Driver_0159,Hyderabad,2022-02-22,4.5
160,Driver_0160,Kolkata,2023-07-12,4.62
161,Driver_0161,Chennai,2025-01-30,4.51
162,Driver_0162,Hyderabad,2024-05-17,4.94
163,Driver_0163,Kolkata,2023-02-02,4.35
164,Driver_0164,Kolkata,2025-03-07,4.58
165,Driver_0165,Ahmedabad,2023-11-06,3.97
166,Driver_0166,Pune,2023-01-22,4.21
167,Driver_0167,Ahmedabad,2022-04-21,4.59
168,Driver_0168,Chennai,2023-09-06,4.65
169,Driver_0169,Hyderabad,2022-01-17,4.25
170,Driver_0170,Chennai,2025-04-20,4.32
171,Driver_0171,Bengaluru,2024-06-02,3.82
172,Driver_0172,Bengaluru,2023-06-25,4.23
173,Driver_0173,Chennai,2022-06-20,4.66
174,Driver_0174,Pune,2023-02-13,4.55
175,Driver_0175,Pune,2024-01-10,4.53
176,Driver_0176,Ahmedabad,2025-11-02,4.37
177,Driver_0177,Chennai,2025-04-26,4.35
178,Driver_0178,Hyderabad,2024-05-07,4.12
179,Driver_0179,Ahmedabad,2022-08-18,4.59
180,Driver_0180,Delhi,2022-04-29,4.5
181,Driver_0181,Pune,2025-03-25,4.52
182,Driver_0182,Mumbai,2024-02-23,4.17
183,Driver_0183,Ahmedabad,2023-04-10,3.6
184,Driver_0184,Bengaluru,2022-04-14,4.73
185,Driver_0185,Ahmedabad,2023-11-29,4.18
186,Driver_0186,Chennai,2022-06-24,4.05
187,Driver_0187,Mumbai,2024-01-15,4.59
188,Driver_0188,Chennai,2025-12-15,4.21
189,Driver_0189,Kolkata,2025-03-03,4.72
190,Driver_0190,Bengaluru,2025-11-15,4.57
191,Driver_0191,Bengaluru,2023-10-27,4.59
192,Driver_0192,Pune,2022-02-02,3.87
193,Driver_0193,Ahmedabad,2022-02-24,4.77
194,Driver_0194,Pune,2023-06-03,4.44
195,Driver_0195,Mumbai,2024-01-26,4.22
196,Driver_0196,Ahmedabad,2022-01-12,4.4
197,Driver_0197,Kolkata,2023-12-21,3.73
198,Driver_0198,Chennai,2023-07-09,4.49
199,Driver_0199,Kolkata,2023-01-08,3.99
200,Driver_0200,Bengaluru,2023-04-29,3.88
201,Driver_0201,Mumbai,2024-08-30,3.82
202,Driver_0202,Delhi,2025-06-05,4.74
203,Driver_0203,Mumbai,2023-09-15,4.13
204,Driver_0204,Hyderabad,2022-11-03,4.89
205,Driver_0205,Mumbai,2023-04-02,4.16
