payment_id,ride_id,payment_method,amount,payment_status
1,1,Credit Card,278.93,Paid
2,2,Debit Card,191.18,Paid
3,3,UPI,250.51,Paid
4,4,UPI,176.12,Paid
5,5,Cash,0,Failed
6,6,Credit Card,168.4,Paid
7,7,Wallet,0,Cancelled
8,8,UPI,225.47,Paid
9,9,Cash,0,Refunded
10,10,UPI,144.45,Paid
11,11,UPI,125.79,Paid
12,12,UPI,117.63,Paid
13,13,UPI,166.8,Paid
14,14,UPI,0,Cancelled
15,15,UPI,116.74,Paid
16,16,Cash,0,Refunded
17,17,Cash,133.46,Paid
18,18,UPI,306.52,Paid
19,19,UPI,0,Cancelled
20,20,Credit Card,171.42,Paid
21,21,Debit Card,206.55,Paid
22,22,UPI,0,Refunded
23,23,Cash,0,Cancelled
24,24,Credit Card,0,Failed
25,25,Credit Card,0,Cancelled
26,26,UPI,113.72,Paid
27,27,Credit Card,0,Failed
28,28,Credit Card,469.19,Paid
29,29,Credit Card,0,Refunded
30,30,Cash,116.39,Paid
31,31,UPI,86.23,Paid
32,32,UPI,172.65,Paid
33,33,UPI,446.36,Paid
34,34,Credit Card,223.46,Paid
35,35,Credit Card,0,Refunded
36,36,Cash,0,Refunded
37,37,UPI,164.06,Paid
38,38,UPI,178.52,Paid
39,39,Cash,91.29,Paid
40,40,Credit Card,120.15,Paid
41,41,Debit Card,130.85,Paid
42,42,UPI,0,Refunded
43,43,UPI,240.69,Paid
44,44,UPI,105.6,Paid
45,45,Cash,316.01,Paid
46,46,Cash,425.42,Paid
47,47,Credit Card,288.19,Paid
48,48,UPI,217.2,Paid
49,49,UPI,87.53,Paid
50,50,UPI,273.86,Paid
51,51,Credit Card,0,Cancelled
52,52,UPI,99.7,Paid
53,53,Credit Card,215.52,Paid
54,54,UPI,216.41,Paid
55,55,UPI,0,Cancelled
56,56,UPI,198.91,Paid
57,57,UPI,0,Refunded
58,58,UPI,117.79,Paid
59,59,UPI,111.39,Paid
60,60,Debit Card,217.04,Paid
61,61,Wallet,162.4,Paid
62,62,Debit Card,105.91,Paid
63,63,UPI,270.62,Paid
64,64,Debit Card,0,Refunded
65,65,UPI,0,Refunded
66,66,UPI,243.89,Paid
67,67,UPI,221.98,Paid
68,68,UPI,263.83,Paid
69,69,Wallet,156.42,Paid
70,70,Credit Card,151.8,Paid
71,71,Wallet,0,Cancelled
72,72,UPI,0,Cancelled
73,73,Wallet,239.7,Paid
74,74,Credit Card,0,Failed
75,75,UPI,211.89,Paid
76,76,Cash,118.78,Paid
77,77,Credit Card,115.38,Paid
78,78,Cash,228.11,Paid
79,79,Credit Card,148.71,Paid
80,80,UPI,110.95,Paid
81,81,Credit Card,170.54,Paid
82,82,Debit Card,435.75,Paid
83,83,UPI,0,Cancelled
84,84,UPI,89.27,Paid
85,85,UPI,187.08,Paid
86,86,Wallet,182.64,Paid
87,87,Wallet,102.9,Paid
88,88,Cash,124.13,Paid
89,89,Credit Card,0,Refunded
90,90,Debit Card,90.13,Paid
91,91,Wallet,0,Refunded
92,92,Cash,142.44,Paid
93,93,Credit Card,138.85,Paid
94,94,UPI,0,Refunded
95,95,Cash,0,Refunded
96,96,Cash,0,Failed
97,97,UPI,121.47,Paid
98,98,Credit Card,0,Failed
99,99,Wallet,0,Failed
100,100,Credit Card,0,Failed
101,101,UPI,193.81,Paid
102,102,UPI,143.32,Paid
103,103,UPI,0,Refunded
104,104,Credit Card,157.14,Paid
105,105,UPI,160.66,Paid
106,106,Cash,154.1,Paid
107,107,UPI,190.95,Paid
108,108,UPI,117.44,Paid
109,109,Debit Card,321.24,Paid
110,110,UPI,0,Cancelled
111,111,Credit Card,137.19,Paid
112,112,UPI,198.85,Paid
113,113,UPI,101.66,Paid
114,114,UPI,208.49,Paid
115,115,Credit Card,298.46,Paid
116,116,Debit Card,487.07,Paid
117,117,UPI,104.16,Paid
118,118,Wallet,0,Cancelled
119,119,UPI,168.51,Paid
120,120,Debit Card,138.55,Paid
121,121,UPI,131.13,Paid
122,122,Debit Card,180.28,Paid
123,123,Cash,208.07,Paid
124,124,UPI,0,Cancelled
125,125,Debit Card,226.86,Paid
126,126,UPI,150.49,Paid
127,127,Credit Card,96.93,Paid
128,128,UPI,296.94,Paid
129,129,UPI,0,Cancelled
130,130,UPI,172.67,Paid
131,131,Debit Card,83.25,Paid
132,132,UPI,95.12,Paid
133,133,Credit Card,312.89,Paid
134,134,UPI,447.22,Paid
135,135,Credit Card,335.87,Paid
136,136,Debit Card,0,Refunded
137,137,UPI,213.28,Paid
138,138,Credit Card,227.05,Paid
139,139,Debit Card,196.99,Paid
140,140,UPI,0,Cancelled
141,141,UPI,151.21,Paid
142,142,UPI,0,Cancelled
143,143,UPI,0,Refunded
144,144,Credit Card,0,Cancelled
145,145,UPI,115.15,Paid
146,146,Wallet,432.44,Paid
147,147,Debit Card,148.96,Paid
148,148,UPI,196.34,Paid
149,149,Debit Card,166.16,Paid
150,150,UPI,141.17,Paid
151,151,UPI,0,Refunded
152,152,UPI,213.28,Paid
153,153,Credit Card,239.15,Paid
154,154,UPI,138.39,Paid
155,155,Debit Card,241.95,Paid
156,156,UPI,118.99,Paid
157,157,UPI,437.96,Paid
158,158,Credit Card,476.2,Paid
159,159,Debit Card,135.33,Paid
160,160,Credit Card,0,Cancelled
161,161,Debit Card,124.36,Paid
162,162,Credit Card,0,Failed
163,163,Wallet,194.24,Paid
164,164,Credit Card,134.72,Paid
