ride_id,promo_id
6253,5
4685,19
1732,16
4743,5
4522,18
6341,12
577,9
5203,20
6364,15
440,20
2751,11
7488,11
5273,15
5654,7
4000,13
6034,9
583,13
9931,19
7052,9
8159,5
9897,9
2250,1
4641,10
9486,16
4948,12
9921,4
1964,4
8244,10
6591,19
8848,11
322,19
2679,13
4626,13
4950,7
8329,18
3338,8
5590,9
252,8
3974,10
6631,1
5548,9
36,6
8363,9
1514,20
9318,15
40,11
4820,16
3466,20
1761,7
2305,11
3724,2
8285,11
4994,12
8128,18
3033,8
7939,11
3040,8
9656,14
2546,18
2593,1
1189,2
7967,3
6078,1
108,4
1316,1
8188,3
2754,12
9754,18
6232,17
2877,2
5324,19
800,2
3571,20
2895,1
2928,2
8179,12
972,6
6688,10
8576,20
2021,16
9055,2
953,17
5360,1
3858,19
5862,10
3146,7
3306,5
3007,12
9002,19
7771,4
7439,12
7943,20
9239,8
1057,9
3155,20
3788,18
9190,19
7826,13
7540,19
7232,14
765,3
5020,13
4904,6
8094,9
6844,10
2166,19
1863,10
7851,1
9124,20
2341,3
5528,7
6744,15
4004,20
1124,4
8710,17
4050,14
7641,15
766,7
2345,1
4072,17
7217,7
4217,1
7953,8
5971,14
3351,2
4696,9
3400,3
4082,7
9150,17
1225,10
6293,16
3123,13
511,10
5795,14
8182,20
9418,1
97,7
6682,6
1513,5
8792,1
120,7
7792,4
6518,2
34,5
7888,2
6831,3
5422,20
1069,8
1348,19
4748,8
6006,3
6040,9
3818,13
8447,8
5270,4
6898,20
5310,2
32,1
5675,20
4387,15
30,18
4203,10
7508,10
736,16
2068,6
107,11
9645,17
8895,1
8021,13
2233,7
994,10
9413,14
7059,12
6790,17
361,14
305,1
2628,12
8966,3
4514,13
5911,14
8314,5
3101,15
5704,16
3899,4
5441,11
7931,19
622,18
7236,10
2499,17
714,15
8404,10
2856,20
4270,14
2909,13
8081,14
4517,1
1262,1
3161,5
971,9
3913,12
5199,19
8847,4
260,16
3791,6
9203,19
488,9
7908,11
519,12
8343,13
312,8
3232,19
7933,1
7458,4
9784,12
5184,8
8077,14
6502,5
6791,5
7773,2
2738,5
7842,5
6262,17
8206,6
1248,17
9336,10
4195,6
8001,16
7378,8
3435,9
5382,1
959,4
417,8
5742,19
6728,2
4382,6
5197,19
1113,19
2689,3
6473,4
8820,7
7808,8
3411,1
81,16
4614,20
1374,12
1510,5
6443,14
3071,3
3016,19
4823,20
7822,5
93,2
9421,20
6600,19
4443,15
7602,12
3835,12
9702,11
4322,15
3394,6
4752,13
7229,3
9191,12
2361,5
1148,2
5666,12
8075,19
4943,18
3663,12
1563,2
4113,11
9050,10
9276,5
8538,15
795,10
5854,10
7619,5
1594,19
7418,10
5267,17
7147,19
89,1
8695,15
9732,2
9446,17
6754,3
3502,16
2234,4
2803,16
4424,15
5663,11
7170,12
8337,8
2148,12
7969,14
6551,12
7643,10
6164,19
1495,4
7696,7
7094,10
1409,14
6691,14
3401,9
109,14
5636,6
8482,19
6604,10
1091,8
5560,1
9412,5
8143,13
8664,2
6596,3
624,17
6871,7
4814,7
6553,13
7530,8
5796,19
7437,1
4218,16
5941,6
8501,4
6429,10
6827,1
4131,1
7802,4
7754,18
4722,7
1651,11
4141,19
1618,1
2030,19
8518,20
4576,5
3993,1
7377,8
6150,5
4909,10
5027,6
8261,7
4732,1
7549,6
8135,15
1607,15
4774,14
8110,3
6952,20
6005,5
7729,7
3542,4
389,16
1795,12
8732,12
4920,3
5538,14
3873,18
8869,1
2255,13
3413,7
5460,3
4956,13
7397,13
5415,6
7400,6
7415,13
9101,7
4852,15
2026,5
2616,12
7389,6
2927,11
1122,3
2911,13
8147,6
7384,2
3483,2
796,18
1576,2
6177,17
6267,8
2459,4
3313,3
1254,6
6835,2
8795,4
3838,4
4399,15
3596,6
6622,8
8383,3
2125,19
3239,18
5404,16
5999,16
5939,10
2046,4
1579,18
15,3
2674,7
7017,11
8721,9
8850,8
4813,8
1085,2
4984,19
7156,9
2885,4
334,3
7205,11
4368,13
3080,6
7204,19
9910,11
8865,10
264,5
4338,3
8896,7
8448,9
5904,6
1499,13
4191,2
7486,5
9644,20
8311,4
7591,4
501,9
9156,4
9415,6
3096,4
4632,6
368,14
4059,10
8175,11
4631,15
6071,14
2665,10
1027,5
5909,10
5051,10
6329,7
9734,7
1692,18
674,3
5573,13
5767,6
5157,11
734,10
3527,16
569,16
9188,4
2923,6
7912,16
1559,8
102,1
3008,7
7202,18
304,10
77,2
6755,7
8630,1
1209,5
7743,4
8215,1
8945,2
8414,11
1776,3
3474,5
484,13
2190,13
347,11
5482,19
8362,12
1473,6
5101,13
6766,20
8707,3
4930,13
6330,6
2610,13
4,9
2214,14
4828,3
857,16
6978,12
5886,19
625,5
291,4
2019,7
669,19
8922,8
8265,16
9697,4
1632,2
5171,13
7206,16
2523,2
2216,8
6969,20
6497,14
6214,12
7033,6
7421,10
1108,12
451,9
6290,9
9967,16
136,4
1786,9
3405,12
2907,3
8305,1
7493,16
6101,11
4505,2
5054,6
5206,7
4081,20
6919,15
6803,4
5207,4
533,8
4831,15
4039,20
4085,19
3205,7
7111,4
331,16
4958,3
3034,17
7685,6
1598,18
9920,14
3598,4
9039,15
8002,1
591,19
648,13
9103,5
8016,19
3772,17
9040,14
5083,1
7883,17
9363,12
4211,18
8835,4
8700,17
1796,3
2587,6
8356,3
2317,13
4186,7
8828,2
7073,17
5235,2
8744,20
8671,7
4769,2
9973,1
7145,14
2914,7
9872,14
9894,10
2076,18
4303,20
5823,1
2150,15
145,18
4964,20
8160,11
9031,18
4776,12
8934,1
7750,7
9829,12
9215,14
6061,6
9476,9
6410,4
3318,3
7465,7
3062,13
1356,19
4515,5
5506,15
5251,14
4512,1
1731,8
1759,7
6651,20
6647,13
9861,8
4140,4
9394,8
5124,18
1,17
1865,10
544,7
350,17
6907,18
9766,6
2524,15
3465,5
458,17
3024,18
7262,20
9516,5
7873,14
6626,19
2535,8
132,15
3705,2
1373,4
6201,19
4857,11
4713,2
5545,20
1414,20
4114,5
656,13
8138,10
4099,17
593,20
8709,19
3124,6
3048,11
3888,5
5736,5
2185,19
2146,14
7048,14
3106,13
9234,15
9097,4
2770,3
5222,17
5834,19
1733,15
266,16
5145,8
8268,15
3938,14
762,9
7221,7
8440,1
3258,19
4339,6
4363,19
317,9
8070,14
1852,12
2485,9
9874,5
9575,14
1079,3
8359,5
7334,8
1072,15
104,15
5749,1
1419,6
1659,9
5285,18
1150,3
7151,10
1569,18
1088,14
6086,11
8675,5
8342,18
7812,19
6085,11
8774,16
8758,10
1693,14
4735,19
3388,19
3647,2
1684,2
9,16
6063,1
6517,16
4124,4
8730,14
6046,7
568,9
9162,19
1804,20
8502,16
4901,6
1600,4
7932,20
9548,15
2824,15
5468,10
3530,3
8684,12
1156,1
6548,8
9089,18
7621,13
