rating_id,ride_id,rider_rating,driver_rating,feedback
1,1671,5,4,Good
2,4012,5,5,Could be better
3,2612,5,4,Good
4,3629,5,4,Good
5,3289,5,5,Very good
6,5132,5,4,Could be better
7,7980,3,5,Average
8,5525,4,4,Good
9,3769,5,5,Average
10,7963,5,4,Good
11,5065,4,5,Excellent
12,6768,5,4,Could be better
13,7440,3,4,Average
14,5589,5,5,Could be better
15,8959,4,5,Excellent
16,1807,5,4,Excellent
17,593,5,5,Very good
18,8388,4,4,Very good
19,4675,5,5,Average
20,1637,4,3,Could be better
21,1131,4,5,Excellent
22,4526,3,5,Good
23,5836,5,4,Good
24,5308,3,5,Could be better
25,7804,5,5,Could be better
26,6227,4,5,Good
27,8642,5,5,Average
28,1481,5,5,Average
29,9262,4,4,Excellent
30,3295,5,5,Excellent
31,8133,4,5,Average
32,9319,3,5,Excellent
33,661,5,4,Could be better
34,5607,5,5,Average
35,2937,5,5,Excellent
36,9691,4,5,Excellent
37,8184,5,3,Could be better
38,3561,5,4,Average
39,4089,5,4,Could be better
40,3434,5,5,Very good
41,2492,4,5,Very good
42,7616,5,5,Average
43,8341,5,5,Good
44,3200,5,5,Excellent
45,6254,5,5,Good
46,2482,5,5,Good
47,4351,5,5,Very good
48,6215,5,5,Excellent
49,4007,5,4,Average
50,4057,5,5,Average
51,3202,4,5,Average
52,672,4,5,Very good
53,8481,5,4,Could be better
54,7729,5,5,Good
55,1860,5,4,Excellent
56,4346,5,5,Good
57,3015,3,5,Could be better
58,343,5,4,Very good
59,1548,4,5,Good
60,3775,5,5,Could be better
61,838,5,4,Excellent
62,8375,4,5,Excellent
63,7001,5,4,Very good
64,613,4,5,Average
65,952,3,5,Very good
66,8990,5,5,Excellent
67,4104,4,4,Excellent
68,1732,4,4,Very good
69,3667,4,5,Could be better
70,2950,3,5,Excellent
71,1940,4,5,Could be better
72,5916,4,5,Very good
73,8040,5,5,Excellent
74,3738,5,3,Good
75,3476,5,5,Very good
76,5325,5,5,Average
77,8449,5,5,Very good
78,1331,5,5,Average
79,8264,5,4,Could be better
80,809,5,5,Average
81,8771,5,5,Excellent
82,180,5,5,Average
83,1792,4,4,Excellent
84,1369,5,5,Good
85,9425,3,5,Good
86,54,5,5,Average
87,9917,3,4,Good
88,605,5,5,Excellent
89,9348,5,4,Average
90,9626,5,5,Could be better
91,5600,3,5,Average
92,5388,5,5,Excellent
93,8911,4,5,Could be better
94,1024,3,4,Average
95,2941,4,5,Could be better
96,530,5,4,Good
97,7102,4,5,Excellent
98,707,3,5,Good
99,3436,5,4,Average
100,8961,5,4,Average
101,9514,5,5,Could be better
102,7912,5,5,Average
103,3923,3,4,Average
104,5846,3,5,Very good
105,7574,5,5,Average
106,7207,5,4,Average
107,133,5,3,Average
108,4734,5,4,Very good
109,7809,4,4,Average
110,2026,5,5,Average
111,3992,3,5,Average
112,6973,5,4,Could be better
113,2618,5,5,Average
114,6097,5,5,Good
115,775,5,5,Very good
116,9616,5,5,Excellent
117,7972,5,5,Excellent
118,1543,5,5,Could be better
119,6503,5,5,Good
120,6211,4,5,Very good
121,2904,5,3,Could be better
122,5946,5,5,Very good
123,2485,5,5,Good
124,38,5,4,Excellent
125,3484,3,5,Good
126,1647,5,5,Could be better
127,4083,5,5,Could be better
128,6788,4,3,Average
129,558,5,5,Very good
130,2137,5,5,Average
131,8973,4,5,Could be better
132,6378,5,5,Excellent
133,2819,5,5,Could be better
134,3264,3,5,Could be better
135,2073,5,5,Good
136,8015,4,5,Excellent
137,951,4,5,Good
138,4646,3,5,Excellent
139,9333,5,5,Very good
140,1090,4,5,Could be better
141,6441,5,4,Could be better
142,6332,5,5,Could be better
143,7298,3,5,Could be better
144,5432,5,4,Could be better
145,9871,3,4,Average
146,5841,5,4,Good
147,4402,4,5,Excellent
148,6939,5,5,Average
149,3749,5,5,Very good
150,5039,4,5,Excellent
151,9724,5,4,Very good
152,6318,5,5,Average
153,9907,5,3,Could be better
154,9387,4,5,Could be better
155,6743,5,3,Very good
156,8172,4,3,Good
157,9847,5,5,Very good
158,3717,5,4,Very good
159,4235,5,5,Excellent
160,8585,3,5,Excellent
161,2039,5,4,Excellent
162,8349,5,5,Very good
163,5291,4,5,Good
164,3095,4,4,Average
165,92,3,5,Very good
166,745,5,5,Average
167,7254,5,5,Very good
168,4497,5,5,Very good
169,5828,4,5,Excellent
170,3456,5,5,Average
171,5899,4,5,Excellent
172,9190,5,5,Excellent
173,6797,5,5,Excellent
174,2353,5,5,Could be better
175,873,4,5,Good
176,3352,5,5,Average
177,7349,5,5,Excellent
178,2280,5,3,Excellent
179,2799,5,5,Excellent
180,2230,5,5,Average
181,6442,5,5,Very good
182,3039,5,4,Good
183,6103,5,4,Could be better
184,9352,4,5,Good
185,6914,3,4,Excellent
186,9008,4,4,Good
187,1828,5,5,Could be better
188,8110,5,4,Very good
189,2497,5,4,Very good
190,4506,4,4,Good
191,9253,5,5,Average
192,5920,5,4,Good
193,6718,4,4,Very good
194,5957,5,5,Average
195,8137,5,4,Excellent
196,9608,5,5,Average
197,2956,5,5,Could be better
198,756,4,4,Good
199,1961,5,5,Average
200,7417,5,4,Excellent
201,9033,5,5,Good
202,3799,5,5,Good
203,9362,5,5,Excellent
204,7608,5,5,Could be better
205,922,5,5,Good
206,6138,4,4,Good
207,6636,5,4,Average
208,8794,4,5,Excellent
209,1330,5,3,Very good
210,328,4,5,Very good
211,4017,5,5,Very good
212,7161,5,5,Average
213,6825,5,4,Excellent
214,2347,5,5,Very good
215,8342,5,4,Good
216,2735,4,5,Excellent
217,9953,5,5,Average
218,635,5,5,Average
219,3463,5,4,Could be better
220,6819,5,4,Average
221,7267,5,5,Very good
222,1939,5,5,Could be better
223,8263,5,5,Excellent
224,4632,5,5,Could be better
225,6409,5,5,Good
226,2749,5,4,Average
227,289,5,5,Average
228,3347,5,4,Average
229,2626,5,5,Very good
230,1319,4,4,Excellent
231,5604,4,4,Excellent
232,5926,4,5,Very good
233,4398,5,4,Could be better
234,4289,5,5,Average
235,5557,4,5,Excellent
236,7088,5,5,Good
237,3428,4,5,Excellent
238,8222,5,3,Excellent
239,8508,4,5,Very good
240,6772,5,5,Average
241,1678,5,5,Average
242,8995,4,4,Excellent
243,2858,5,4,Good
244,8980,5,5,Very good
245,4449,4,4,Good
246,1296,5,5,Excellent
247,8706,5,3,Average
248,9612,5,5,Average
249,141,5,5,Very good
250,5165,5,5,Average
251,6177,4,4,Could be better
252,2817,5,5,Good
253,5704,4,5,Average
254,302,5,4,Could be better
255,7491,5,5,Very good
256,5723,4,5,Average
257,7244,3,5,Excellent
258,8069,5,4,Average
259,5262,5,5,Could be better
260,2413,5,4,Good
261,8761,4,4,Excellent
262,2393,5,5,Excellent
263,2387,5,5,Excellent
264,9977,4,5,Excellent
265,1120,5,4,Good
266,86,4,4,Very good
267,4836,4,5,Good
268,1148,3,5,Very good
269,7596,4,5,Average
270,9704,5,5,Very good
271,5415,5,4,Good
272,1825,4,5,Excellent
273,5503,4,4,Average
274,645,5,4,Could be better
275,6036,4,5,Excellent
276,9163,5,3,Could be better
277,3100,5,5,Very good
278,9234,5,5,Excellent
279,6292,4,5,Could be better
280,4050,4,4,Could be better
281,411,5,5,Good
282,8918,5,5,Excellent
283,9639,5,4,Excellent
284,4954,5,5,Good
285,4373,5,5,Good
286,6987,4,4,Very good
287,3265,4,5,Very good
288,9601,5,5,Good
289,114,4,5,Could be better
290,9931,3,5,Average
291,8376,4,5,Could be better
292,7323,4,3,Could be better
293,6296,5,4,Good
294,7544,5,5,Could be better
295,6915,5,4,Very good
296,4502,5,5,Excellent
297,5696,5,5,Average
298,6229,5,5,Very good
299,7945,5,5,Could be better
300,431,4,5,Average
301,8310,4,5,Could be better
302,5682,5,5,Very good
303,3704,5,5,Excellent
304,1203,4,5,Good
305,696,5,5,Could be better
306,2580,4,4,Good
307,1726,5,5,Average
308,9560,5,3,Good
309,413,3,5,Could be better
310,5701,5,5,Very good
311,6648,3,5,Very good
312,4870,5,3,Could be better
313,8575,5,4,Very good
314,4509,3,5,Good
315,9790,5,4,Could be better
316,305,5,3,Excellent
317,8651,5,5,Could be better
318,4981,5,5,Could be better
319,9819,4,5,Excellent
320,220,5,4,Very good
321,1716,5,5,Could be better
322,5343,4,4,Very good
323,5683,5,5,Excellent
324,2979,4,5,Good
325,456,4,4,Average
326,1833,5,5,Average
327,4073,5,5,Excellent
328,9874,5,5,Good
329,9446,5,5,Very good
330,8819,4,5,Very good
331,3691,3,5,Excellent
332,3993,5,4,Average
333,8230,5,5,Very good
334,6057,5,4,Average
335,1601,5,5,Excellent
336,8715,5,4,Average
337,1317,4,4,Average
338,3486,5,5,Could be better
339,6246,5,5,Could be better
340,7052,5,5,Could be better
341,719,4,5,Very good
342,7829,5,5,Excellent
343,1276,5,5,Excellent
344,8010,5,5,Average
345,8446,5,5,Could be better
346,2238,5,5,Very good
347,3044,5,5,Excellent
348,9383,4,5,Very good
349,5548,5,4,Excellent
350,7685,5,5,Excellent
351,9828,5,5,Average
352,966,5,4,Excellent
353,7095,5,5,Good
354,5329,4,5,Good
355,1057,4,5,Average
356,9439,4,5,Very good
357,9494,5,5,Could be better
358,5663,5,5,Good
359,8720,5,5,Average
360,9280,5,4,Excellent
361,6523,5,4,Could be better
362,921,4,5,Good
363,6455,5,5,Excellent
364,3010,5,5,Excellent
365,5939,5,5,Excellent
366,7215,5,5,Could be better
367,5796,5,5,Very good
368,9821,5,4,Very good
369,9933,5,5,Could be better
370,9502,5,4,Good
371,7212,5,4,Excellent
372,3504,3,5,Good
373,6151,4,4,Very good
374,8163,3,4,Could be better
375,4475,4,5,Average
376,1941,5,5,Very good
377,6171,5,5,Excellent
378,6563,5,5,Could be better
379,7203,5,5,Average
380,7434,4,5,Very good
381,6504,5,5,Very good
382,588,4,4,Excellent
383,5513,5,5,Good
384,8180,4,5,Average
385,3124,4,3,Excellent
