rider_id,rider_name,gender,city,signup_date
1,Rider_0001,Male,Kolkata,2025-03-26
2,Rider_0002,Female,Delhi,2024-03-29
3,Rider_0003,Female,Chennai,2024-09-20
4,Rider_0004,Female,Ahmedabad,2024-10-26
5,Rider_0005,Male,Ahmedabad,2023-01-12
6,Rider_0006,Male,Bengaluru,2023-10-31
7,Rider_0007,Male,Ahmedabad,2025-09-01
8,Rider_0008,Female,Kolkata,2025-02-21
9,Rider_0009,Female,Hyderabad,2023-02-12
10,Rider_0010,Female,Mumbai,2025-08-01
11,Rider_0011,Male,Kolkata,2023-12-09
12,Rider_0012,Female,Hyderabad,2024-05-12
13,Rider_0013,Female,Chennai,2023-12-30
14,Rider_0014,Male,Ahmedabad,2025-06-09
15,Rider_0015,Male,Chennai,2024-03-02
16,Rider_0016,Male,Ahmedabad,2025-10-01
17,Rider_0017,Male,Mumbai,2023-01-21
18,Rider_0018,Male,Pune,2024-02-11
19,Rider_0019,Male,Mumbai,2024-09-10
20,Rider_0020,Male,Delhi,2025-10-11
21,Rider_0021,Female,Kolkata,2023-12-02
22,Rider_0022,Male,Bengaluru,2024-02-03
23,Rider_0023,Male,Pune,2025-03-03
24,Rider_0024,Male,Mumbai,2024-12-15
25,Rider_0025,Male,Hyderabad,2023-02-20
26,Rider_0026,Female,Pune,2023-11-20
27,Rider_0027,Male,Kolkata,2025-02-27
28,Rider_0028,Male,Ahmedabad,2023-05-21
29,Rider_0029,Female,Pune,2024-04-14
30,Rider_0030,Male,Ahmedabad,2025-02-25
31,Rider_0031,Female,Kolkata,2025-08-21
32,Rider_0032,Male,Mumbai,2025-10-04
33,Rider_0033,Male,Kolkata,2024-01-08
34,Rider_0034,Female,Pune,2024-05-08
35,Rider_0035,Female,Hyderabad,2025-01-20
36,Rider_0036,Female,Chennai,2023-10-18
37,Rider_0037,Male,Pune,2023-04-16
38,Rider_0038,Male,Kolkata,2024-10-31
39,Rider_0039,Female,Chennai,2023-01-02
40,Rider_0040,Male,Kolkata,2024-08-11
41,Rider_0041,Male,Hyderabad,2024-10-05
42,Rider_0042,Male,Kolkata,2023-03-31
43,Rider_0043,Male,Mumbai,2023-12-16
44,Rider_0044,Female,Bengaluru,2025-11-28
45,Rider_0045,Male,Ahmedabad,2025-06-27
46,Rider_0046,Female,Ahmedabad,2023-06-08
47,Rider_0047,Male,Pune,2025-08-16
48,Rider_0048,Male,Bengaluru,2023-11-08
49,Rider_0049,Male,Kolkata,2024-03-20
