vehicle_id,driver_id,vehicle_type,vehicle_model,registration_no
1,1,Mini,WagonR,MH20AB1000
2,2,Mini,Celerio,MH21AB1001
3,3,Sedan,Honda City,MH22AB1002
4,4,Auto,Bajaj RE,MH23AB1003
5,5,Premium,Camry,MH24AB1004
6,6,Mini,Celerio,MH25AB1005
7,7,Mini,Alto,MH26AB1006
8,8,Premium,Audi A4,MH27AB1007
9,9,SUV,Creta,MH28AB1008
10,10,Auto,Bajaj RE,MH29AB1009
11,11,Mini,WagonR,MH30AB1010
12,12,Sedan,Verna,MH31AB1011
13,13,SUV,Creta,MH32AB1012
14,14,SUV,Seltos,MH33AB1013
15,15,Sedan,Verna,MH34AB1014
16,16,Mini,WagonR,MH35AB1015
17,17,Sedan,Verna,MH36AB1016
18,18,Mini,Celerio,MH37AB1017
19,19,Sedan,Dzire,MH38AB1018
20,20,Premium,Audi A4,MH39AB1019
21,21,Sedan,Dzire,MH40AB1020
22,22,Auto,Piaggio Ape,MH41AB1021
23,23,Mini,Alto,MH42AB1022
24,24,SUV,Seltos,MH43AB1023
25,25,Premium,Mercedes C-Class,MH44AB1024
26,26,Mini,WagonR,MH45AB1025
27,27,Mini,Celerio,MH46AB1026
28,28,Sedan,Honda City,MH47AB1027
29,29,Mini,WagonR,MH48AB1028
30,30,SUV,Creta,MH49AB1029
31,31,Auto,Piaggio Ape,MH50AB1030
32,32,Sedan,Honda City,MH51AB1031
33,33,Mini,Celerio,MH52AB1032
34,34,Sedan,Honda City,MH53AB1033
35,35,SUV,Creta,MH54AB1034
36,36,Mini,WagonR,MH55AB1035
37,37,Sedan,Verna,MH56AB1036
38,38,SUV,Nexon,MH57AB1037
39,39,SUV,Seltos,MH58AB1038
40,40,Mini,WagonR,MH59AB1039
41,41,SUV,Creta,MH60AB1040
42,42,Mini,Alto,MH61AB1041
43,43,Mini,Celerio,MH62AB1042
44,44,Auto,Piaggio Ape,MH63AB1043
45,45,SUV,Nexon,MH64AB1044
46,46,Mini,Celerio,MH65AB1045
47,47,Mini,Alto,MH66AB1046
48,48,Mini,Alto,MH67AB1047
49,49,Mini,WagonR,MH68AB1048
50,50,Mini,Celerio,MH69AB1049
51,51,Mini,Celerio,MH70AB1050
52,52,Sedan,Honda City,MH71AB1051
53,53,SUV,Seltos,MH72AB1052
54,54,SUV,Nexon,MH73AB1053
55,55,SUV,Seltos,MH74AB1054
56,56,Mini,Celerio,MH75AB1055
57,57,Premium,Audi A4,MH76AB1056
58,58,Auto,Piaggio Ape,MH77AB1057
59,59,Auto,Bajaj RE,MH78AB1058
60,60,Auto,Piaggio Ape,MH79AB1059
61,61,Auto,Piaggio Ape,MH80AB1060
62,62,Sedan,Honda City,MH81AB1061
63,63,Mini,WagonR,MH82AB1062
64,64,SUV,Seltos,MH83AB1063
65,65,SUV,Seltos,MH84AB1064
66,66,SUV,Nexon,MH85AB1065
67,67,Sedan,Verna,MH86AB1066
68,68,Mini,Celerio,MH87AB1067
69,69,Sedan,Dzire,MH88AB1068
70,70,Auto,Bajaj RE,MH89AB1069
71,71,Sedan,Honda City,MH90AB1070
72,72,Sedan,Dzire,MH91AB1071
73,73,Mini,WagonR,MH92AB1072
74,74,Sedan,Honda City,MH93AB1073
75,75,Auto,Piaggio Ape,MH94AB1074
76,76,SUV,Creta,MH95AB1075
77,77,Auto,Bajaj RE,MH96AB1076
78,78,Sedan,Verna,MH97AB1077
79,79,SUV,Nexon,MH98AB1078
80,80,Mini,Celerio,MH99AB1079
81,81,SUV,Seltos,MH20AB1080
82,82,Sedan,Dzire,MH21AB1081
83,83,Sedan,Verna,MH22AB1082
84,84,SUV,Seltos,MH23AB1083
85,85,Auto,Piaggio Ape,MH24AB1084
86,86,Mini,Alto,MH25AB1085
87,87,Auto,Bajaj RE,MH26AB1086
88,88,Mini,Celerio,MH27AB1087
89,89,Sedan,Honda City,MH28AB1088
90,90,Mini,WagonR,MH29AB1089
91,91,Mini,WagonR,MH30AB1090
92,92,Sedan,Dzire,MH31AB1091
93,93,Mini,WagonR,MH32AB1092
94,94,Sedan,Verna,MH33AB1093
95,95,Auto,Piaggio Ape,MH34AB1094
96,96,Mini,Celerio,MH35AB1095
97,97,Auto,Bajaj RE,MH36AB1096
98,98,Sedan,Dzire,MH37AB1097
99,99,SUV,Seltos,MH38AB1098
100,100,Mini,Alto,MH39AB1099
101,101,Mini,WagonR,MH40AB1100
102,102,Mini,Celerio,MH41AB1101
103,103,Mini,Celerio,MH42AB1102
104,104,Mini,Celerio,MH43AB1103
105,105,SUV,Creta,MH44AB1104
106,106,Auto,Piaggio Ape,MH45AB1105
107,107,Auto,Piaggio Ape,MH46AB1106
108,108,SUV,Seltos,MH47AB1107
109,109,Mini,Alto,MH48AB1108
110,110,Mini,WagonR,MH49AB1109
111,111,Mini,Alto,MH50AB1110
112,112,Mini,WagonR,MH51AB1111
113,113,Sedan,Honda City,MH52AB1112
114,114,Sedan,Honda City,MH53AB1113
115,115,Sedan,Honda City,MH54AB1114
116,116,Sedan,Verna,MH55AB1115
117,117,Auto,Bajaj RE,MH56AB1116
118,118,Auto,Piaggio Ape,MH57AB1117
119,119,Mini,WagonR,MH58AB1118
120,120,Auto,Piaggio Ape,MH59AB1119
121,121,Premium,Audi A4,MH60AB1120
122,122,Sedan,Verna,MH61AB1121
123,123,Sedan,Verna,MH62AB1122
124,124,Sedan,Dzire,MH63AB1123
125,125,Premium,Mercedes C-Class,MH64AB1124
126,126,Auto,Bajaj RE,MH65AB1125
127,127,Mini,WagonR,MH66AB1126
128,128,Sedan,Honda City,MH67AB1127
129,129,Sedan,Verna,MH68AB1128
130,130,Sedan,Dzire,MH69AB1129
131,131,Mini,Alto,MH70AB1130
132,132,Auto,Bajaj RE,MH71AB1131
133,133,SUV,Seltos,MH72AB1132
134,134,Auto,Bajaj RE,MH73AB1133
135,135,Auto,Piaggio Ape,MH74AB1134
136,136,SUV,Creta,MH75AB1135
137,137,Sedan,Dzire,MH76AB1136
138,138,SUV,Creta,MH77AB1137
139,139,Mini,Alto,MH78AB1138
140,140,SUV,Seltos,MH79AB1139
141,141,Mini,Alto,MH80AB1140
142,142,SUV,Creta,MH81AB1141
143,143,Mini,Alto,MH82AB1142
144,144,Mini,Celerio,MH83AB1143
145,145,Mini,Alto,MH84AB1144
146,146,Mini,Celerio,MH85AB1145
147,147,SUV,Seltos,MH86AB1146
148,148,SUV,Creta,MH87AB1147
149,149,Sedan,Verna,MH88AB1148
150,150,Mini,Celerio,MH89AB1149
151,151,Mini,Celerio,MH90AB1150
152,152,Mini,Alto,MH91AB1151
153,153,Mini,Celerio,MH92AB1152
154,154,Auto,Piaggio Ape,MH93AB1153
155,155,Mini,Celerio,MH94AB1154
156,156,Sedan,Dzire,MH95AB1155
157,157,Mini,Alto,MH96AB1156
158,158,Mini,Alto,MH97AB1157
159,159,Sedan,Verna,MH98AB1158
160,160,SUV,Nexon,MH99AB1159
161,161,Mini,Alto,MH20AB1160
162,162,Mini,Alto,MH21AB1161
163,163,Sedan,Dzire,MH22AB1162
164,164,Mini,WagonR,MH23AB1163
165,165,Mini,WagonR,MH24AB1164
166,166,Premium,Audi A4,MH25AB1165
167,167,SUV,Seltos,MH26AB1166
168,168,Sedan,Dzire,MH27AB1167
169,169,Sedan,Dzire,MH28AB1168
170,170,Sedan,Dzire,MH29AB1169
171,171,Sedan,Verna,MH30AB1170
172,172,SUV,Seltos,MH31AB1171
173,173,SUV,Seltos,MH32AB1172
174,174,Mini,Celerio,MH33AB1173
175,175,Sedan,Honda City,MH34AB1174
176,176,Sedan,Dzire,MH35AB1175
177,177,Auto,Bajaj RE,MH36AB1176
178,178,SUV,Creta,MH37AB1177
179,179,Sedan,Verna,MH38AB1178
180,180,Mini,Alto,MH39AB1179
181,181,SUV,Seltos,MH40AB1180
182,182,Mini,Celerio,MH41AB1181
183,183,Sedan,Honda City,MH42AB1182
184,184,Mini,Alto,MH43AB1183
185,185,SUV,Creta,MH44AB1184
186,186,Mini,Alto,MH45AB1185
187,187,Sedan,Verna,MH46AB1186
188,188,Auto,Bajaj RE,MH47AB1187
189,189,Mini,Alto,MH48AB1188
190,190,Sedan,Dzire,MH49AB1189
191,191,Sedan,Honda City,MH50AB1190
192,192,Mini,Celerio,MH51AB1191
193,193,Auto,Bajaj RE,MH52AB1192
194,194,Mini,Celerio,MH53AB1193
195,195,Sedan,Honda City,MH54AB1194
196,196,Sedan,Dzire,MH55AB1195
197,197,SUV,Nexon,MH56AB1196
198,198,SUV,Seltos,MH57AB1197
199,199,Mini,Alto,MH58AB1198
200,200,Mini,WagonR,MH59AB1199
201,201,SUV,Nexon,MH60AB1200
202,202,Sedan,Verna,MH61AB1201
203,203,Auto,Bajaj RE,MH62AB1202
204,204,Auto,Piaggio Ape,MH63AB1203
205,205,Auto,Piaggio Ape,MH64AB1204
206,206,Sedan,Verna,MH65AB1205
207,207,Sedan,Verna,MH66AB1206
208,208,Auto,Bajaj RE,MH67AB1207
209,209,Sedan,Dzire,MH68AB1208
210,210,Mini,Alto,MH69AB1209
211,211,Auto,Bajaj RE,MH70AB1210
212,212,Auto,Bajaj RE,MH71AB1211
213,213,Sedan,Verna,MH72AB1212
214,214,Mini,WagonR,MH73AB1213
215,215,Sedan,Dzire,MH74AB1214
216,216,Auto,Piaggio Ape,MH75AB1215
217,217,Auto,Piaggio Ape,MH76AB1216
218,218,Mini,Celerio,MH77AB1217
219,219,Mini,Alto,MH78AB1218
220,220,Auto,Bajaj RE,MH79AB1219
221,221,Sedan,Verna,MH80AB1220
222,222,Sedan,Dzire,MH81AB1221
223,223,Premium,Mercedes C-Class,MH82AB1222
224,224,Mini,Celerio,MH83AB1223
225,225,SUV,Nexon,MH84AB1224
226,226,Mini,Celerio,MH85AB1225
227,227,Sedan,Verna,MH86AB1226
228,228,Auto,Bajaj RE,MH87AB1227
229,229,Sedan,Dzire,MH88AB1228
230,230,Premium,Audi A4,MH89AB1229
231,231,Sedan,Honda City,MH90AB1230
232,232,Sedan,Honda City,MH91AB1231
233,233,Mini,Celerio,MH92AB1232
234,234,Sedan,Dzire,MH93AB1233
235,235,Sedan,Verna,MH94AB1234
236,236,Mini,Alto,MH95AB1235
237,237,Sedan,Verna,MH96AB1236
238,238,Sedan,Verna,MH97AB1237
239,239,SUV,Nexon,MH98AB1238
240,240,SUV,Nexon,MH99AB1239
241,241,SUV,Nexon,MH20AB1240
242,242,Mini,Alto,MH21AB1241
243,243,Mini,Celerio,MH22AB1242
244,244,SUV,Nexon,MH23AB1243
245,245,Sedan,Dzire,MH24AB1244
246,246,Mini,WagonR,MH25AB1245
247,247,Auto,Piaggio Ape,MH26AB1246
248,248,Auto,Bajaj RE,MH27AB1247
249,249,Sedan,Dzire,MH28AB1248
250,250,Mini,Celerio,MH29AB1249
